centro_operacion,regional,unidad_negocio,condicion_pago,cupo_credito,max_prestamo,min_prestamo,max_pago,total_prestamos,total_pagado,debe,promedio_prestamos,promedio_pagado,promedio_debe,dias_promedio_pago,dias_mora_promedio,max_mora,min_mora,antiguedad,corriente,de_1_30,de_30_60,de_60_90,mayor_90,saldo_final,con_saldos_a_favor,sin_saldos_a_favor,porcentaje_h_pago_a_tiempo,porcentaje_h_1_30,porcentaje_h_30_60,porcentaje_h_60_90,porcentaje_h_mayor_90,porcentaje_total_h,mora_de_1_30,mora_de_30_60,mora_de_60_90,mora_mayor_90
SIBERIA,DC,ADM,CTD,"0,00","233800,00","233800,00","233800,00","233800,00","233800,00","0,00","233800,00","233800,00","0,00",13,13,13,13,1050,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","100,00","0,00","0,00","0,00","100,00",0,0,0,0
SIBERIA,DC,GRN,15D,"800000,00","1338395,68","603221,91","886269,81","4389665,95","4389665,95","0,00","627095,1357","627095,1357","0,00",41,26,127,-13,1050,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","33,51","50,96","0,00","0,00","15,52","100,00",0,0,0,0
SIBERIA,DC,ADM,30D,"1,00","1932900,93","1932900,93","1926425,55","1926425,55","1926425,55","0,00","1926425,55","1926425,55","0,00",5,-26,-26,-26,1045,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","100,00","0,00","0,00","0,00","0,00","100,00",0,0,0,0
SIBERIA,DC,GRN,45D,"58600000,00","38565900,77","1086509,02","16594582,41","600221599,78","566861790,81","33359808,97","2554134,4671","2412177,8332","141956,6339",58,12,72,-47,1047,"20510638,79","12849170,18","0,00","0,00","0,00","12849170,18","33359808,97","33359808,97","7,33","81,94","8,50","2,21","0,00","100,00",1,0,0,0
YUMBO,DS,GRN,30D,"1500000,00","198864,00","78739,20","151624,22","5384674,95","5384674,95","0,00","76923,9278","76923,9278","0,00",40,10,58,-15,1047,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","29,31","67,04","3,63","0,00","0,00","100,00",0,0,0,0
YUMBO,DS,GRN,CTD,"0,00","238327,00","52940,00","238327,00","291267,00","291267,00","0,00","145633,50","145633,50","0,00",339,339,665,14,1047,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","81,82","0,00","0,00","18,17","100,00",0,0,0,0
YUMBO,DS,ADM,01D,"1,00","569418,60","567511,00","548435,00","567511,00","567511,00","0,00","283755,50","283755,50","0,00",336,335,672,-1,1010,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","96,63","0,00","0,00","0,00","3,36","100,00",0,0,0,0
VALLEDUPAR,DN,CIL,CTD,"1,00","9961889,65","126268,38","7750413,00","58371129,00","58371129,00","0,00","1667746,5428","1667746,5428","0,00",9,6,245,-8,1047,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","51,69","34,79","0,00","0,00","13,50","100,00",0,0,0,0
VALLEDUPAR,DN,ADM,CTD,"0,00","8317105,00","8220011,00","693093,00","16537116,00","16537116,00","0,00","689046,50","689046,50","0,00",130,-76,186,-373,1003,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","53,89","20,95","4,19","4,19","16,76","100,00",0,0,0,0
BARRANQUILLA,DN,CIL,CTD,"0,00","100000,00","100000,00","100000,00","100000,00","100000,00","0,00","100000,00","100000,00","0,00",77,77,77,77,1047,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","100,00","0,00","100,00",0,0,0,0
