centro_operacion,regional,unidad_negocio,condicion_pago,cupo_credito,max_prestamo,min_prestamo,max_pago,total_prestamos,total_pagado,debe,promedio_prestamos,promedio_pagado,promedio_debe,dias_promedio_pago,dias_mora_promedio,max_mora,min_mora,antiguedad,corriente,de_1_30,de_30_60,de_60_90,mayor_90,saldo_final,con_saldos_a_favor,sin_saldos_a_favor,porcentaje_h_pago_a_tiempo,porcentaje_h_1_30,porcentaje_h_30_60,porcentaje_h_60_90,porcentaje_h_mayor_90,porcentaje_total_h,mora_de_1_30,mora_de_30_60,mora_de_60_90,mora_mayor_90
CUCUTA,DN,GRN,CTD,"0,00","42275,00","104,01","42275,00","43523,21","43643,21","-120,00","7253,8683","7273,8683","-20,00",78,78,116,38,1554,"0,00","-120,00","0,00","0,00","0,00","-120,00","-120,00","0,00","0,00","0,00","0,68","0,59","98,71","100,00",0,0,0,0
SIBERIA,DC,GRN,15D,"1600000,00","1081358,72","80080,80","858820,32","29723227,02","28564706,70","1158520,32","540422,3094","519358,3036","21064,0058",42,26,100,-7,1554,"1158520,32","0,00","0,00","0,00","0,00","0,00","1158520,32","1158520,32","4,02","53,73","28,99","11,16","2,08","100,00",0,0,0,0
SIBERIA,DC,ADM,CTD,"0,00","1000000,00","73050,00","1000000,00","7871915,58","7876095,30","-4179,72","655992,965","656341,275","-348,31",9,9,79,0,1551,"0,00","0,00","0,00","0,00","-4179,72","-4179,72","-4179,72","0,00","100,00","0,00","0,00","0,00","0,00","100,00",0,0,0,0
CARTAGENA,DN,CIL,CTD,"0,00","2140867,70","342479,62","1135882,00","24510274,00","24510274,00","0,00","907787,9259","907787,9259","0,00",3,3,20,0,1550,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","44,37","55,62","0,00","0,00","0,00","100,00",0,0,0,0
CARTAGENA,DN,CIL,CTD,"0,00","1170000,00","1170000,00","1170000,00","1170000,00","1170000,00","0,00","1170000,00","1170000,00","0,00",0,0,0,0,1550,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","100,00","0,00","0,00","0,00","0,00","100,00",0,0,0,0
SIBERIA,DC,CIL,CTD,"1,00","11138850,00","2800,00","10971767,25","808690100,93","808690100,93","0,00","1481117,4009","1481117,4009","0,00",10,-4,573,-47,4389,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","73,06","25,73","0,00","0,83","0,35","100,00",0,0,0,0
SIBERIA,DC,CIL,08D,"3138010,00","8356500,00","400000,00","6098940,00","35376320,00","35376320,00","0,00","4422040,00","4422040,00","0,00",60,54,170,9,4389,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","84,54","15,23","0,00","0,22","100,00",0,0,0,0
FUSAGASUGA VD,DC,ADM,15D,"229400,00","15610328,41","10171475,00","1300868,41","38437228,61","33691444,13","4745784,48","1067700,7947","935873,448","131827,3466",133,-23,68,-222,2356,"4745784,48","0,00","0,00","0,00","0,00","0,00","4745784,48","4745784,48","42,38","50,57","4,69","2,34","0,00","100,00",0,0,0,0
OFICINA CENTRAL,OC,ADM,CTD,"0,00","1315000,00","184100,00","1315000,00","11110880,00","8157880,00","2953000,00","284894,3589","209176,4102","75717,9487",65,34,171,-5,14875,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","73,73","0,00","26,26","0,00","0,00","100,00",0,0,0,0
OFICINA CENTRAL,OC,ADM,CTD,"0,00","2008000,00","268600,00","2008000,00","66386150,00","65871750,00","514400,00","1276656,7307","1266764,423","9892,3076",23,28,216,0,19740,"0,00","0,00","500000,00","14400,00","0,00","514400,00","514400,00","514400,00","48,77","24,31","14,85","6,02","6,02","100,00",0,1,1,0
OFICINA CENTRAL,OC,ADM,CTD,"0,00","2000000,00","12000,00","2000000,00","78862310,04","77135960,04","1726350,00","743984,0569","727697,7362","16286,3207",21,21,90,0,2401,"0,00","1200000,00","526350,00","0,00","0,00","1726350,00","1726350,00","1726350,00","28,02","30,76","41,20","0,00","0,00","100,00",1,1,0,0
OFICINA CENTRAL,OC,ADM,CTD,"0,00","1807200,00","35000,00","1807200,00","140068600,00","139320200,00","748400,00","1148103,2786","1141968,8524","6134,4262",16,16,91,-5,2703,"0,00","748400,00","0,00","0,00","0,00","748400,00","748400,00","748400,00","40,36","25,45","34,18","0,00","0,00","100,00",1,0,0,0
OFICINA CENTRAL,OC,ADM,CTD,"0,00","2008000,00","1204800,00","2008000,00","94609848,00","94609848,00","0,00","1855095,0588","1855095,0588","0,00",27,26,131,-4,22566,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","100,00","0,00","0,00","0,00","100,00",0,0,0,0
OFICINA CENTRAL,OC,ADM,CTD,"0,00","2008000,00","7000,00","2008000,00","148401300,00","148001734,42","399565,58","1216404,0983","1213128,9706","3275,1277",36,25,260,-9,23243,"0,00","0,00","0,00","0,00","-434,43","-434,43","-434,43","0,00","93,07","0,00","0,00","0,00","6,92","100,00",0,0,0,0
OFICINA CENTRAL,OC,ADM,CTD,"0,00","3012000,00","60000,00","3012000,00","296747084,00","296758484,00","-11400,00","2134871,1079","2134953,1223","-82,0143",20,19,337,-2,19787,"0,00","-11400,00","0,00","0,00","0,00","-11400,00","-11400,00","0,00","35,32","23,51","41,03","0,00","0,12","100,00",0,0,0,0
CHIQUINQUIRA,DC,CIL,CTD,"1,00","2392992,00","2400,00","1959684,00","72000270,00","71407070,00","593200,00","496553,5862","492462,5517","4091,0344",17,16,413,-8,2684,"0,00","595600,00","0,00","0,00","-2400,00","593200,00","593200,00","595600,00","44,02","43,71","12,25","0,00","0,00","100,00",1,0,0,0
OFICINA CENTRAL,OC,ADM,CTD,"0,00","1204800,00","6000,00","1204800,00","90519260,00","90519260,00","0,00","641980,5673","641980,5673","0,00",16,15,64,0,11178,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","27,37","42,35","30,26","0,00","0,00","100,00",0,0,0,0
OFICINA CENTRAL,OC,ADM,CTD,"0,00","2710800,00","27800,00","2710800,00","151410880,00","149910880,00","1500000,00","1113315,2941","1102285,8823","11029,4117",17,16,66,-4,11672,"0,00","1500000,00","0,00","0,00","0,00","1500000,00","1500000,00","1500000,00","41,29","25,88","32,82","0,00","0,00","100,00",1,0,0,0
OFICINA CENTRAL,OC,ADM,CTD,"0,00","2008000,00","92700,00","2008000,00","139675796,00","136828921,00","2846875,00","956683,5342","937184,3904","19499,1438",17,60,6209,-4,1810,"0,00","1900000,00","946875,00","0,00","0,00","2846875,00","2846875,00","2846875,00","41,84","26,41","31,73","0,00","0,00","100,00",1,1,0,0
OFICINA CENTRAL,OC,ADM,CTD,"0,00","1500000,00","19000,00","1500000,00","14671100,00","14671100,00","0,00","543374,074","543374,074","0,00",7,7,40,0,23538,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","100,00","0,00","0,00","0,00","0,00","100,00",0,0,0,0
OFICINA CENTRAL,OC,ADM,CTD,"0,00","2108400,00","10000,00","2108400,00","115577299,00","115353525,00","223774,00","875585,5984","873890,3409","1695,2575",15,15,65,0,2417,"0,00","0,00","0,00","0,00","223774,00","223774,00","223774,00","223774,00","100,00","0,00","0,00","0,00","0,00","100,00",0,0,0,1
OFICINA CENTRAL,OC,ADM,CTD,"0,00","3012000,00","30000,00","3012000,00","53466000,00","53466000,00","0,00","1113875,00","1113875,00","0,00",5,5,71,0,23229,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","100,00","0,00","0,00","0,00","0,00","100,00",0,0,0,0
OFICINA CENTRAL,OC,ADM,CTD,"0,00","3012000,00","40000,00","3012000,00","58518000,00","58518000,00","0,00","1272130,4347","1272130,4347","0,00",9,9,83,0,20144,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","100,00","0,00","0,00","0,00","0,00","100,00",0,0,0,0
OFICINA CENTRAL,OC,ADM,CTD,"0,00","3012000,00","50000,00","3012000,00","21027700,00","21060714,82","-33014,82","955804,5454","957305,219","-1500,6736",15,15,90,0,24246,"0,00","0,00","0,00","0,00","-33014,82","-33014,82","-33014,82","0,00","82,51","0,00","0,00","17,48","0,00","100,00",0,0,0,0
OFICINA CENTRAL,OC,ADM,CTD,"0,00","3012000,00","40000,00","3012000,00","149782399,00","149782399,00","0,00","1783123,7976","1783123,7976","0,00",13,13,169,0,18336,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","100,00","0,00","0,00","0,00","0,00","100,00",0,0,0,0
OFICINA CENTRAL,OC,ADM,01D,"1,00","120000000,00","16000,00","120000000,00","223256201,00","223256201,00","0,00","3600906,4677","3600906,4677","0,00",7,7,54,0,17645,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","3,09","96,90","0,00","0,00","0,00","100,00",0,0,0,0
OFICINA CENTRAL,OC,ADM,01D,"1,00","140000000,00","35000,00","140000000,00","231882800,00","231882800,00","0,00","3680679,365","3680679,365","0,00",10,10,69,0,17830,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","3,08","0,00","96,91","0,00","0,00","100,00",0,0,0,0
OFICINA CENTRAL,OC,ADM,08D,"0,00","1570000,00","8000,00","1570000,00","12712619,51","12712619,51","0,00","508504,7804","508504,7804","0,00",12,11,95,-5,3587,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","59,36","40,63","0,00","0,00","0,00","100,00",0,0,0,0
OFICINA CENTRAL,OC,ADM,CTD,"0,00","3012000,00","50000,00","3012000,00","68541599,33","68541599,33","0,00","1246210,8969","1246210,8969","0,00",7,7,64,0,17592,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","89,34","10,65","0,00","0,00","0,00","100,00",0,0,0,0
OFICINA CENTRAL,OC,ADM,CTD,"0,00","1807200,00","175000,00","1807200,00","14558600,00","14558600,00","0,00","1617622,2222","1617622,2222","0,00",33,33,83,0,23873,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","100,00","0,00","100,00",0,0,0,0
OFICINA CENTRAL,OC,ADM,CTD,"0,00","1204800,00","750,00","1204800,00","61616224,14","61616224,14","0,00","526634,3943","526634,3943","0,00",16,16,105,0,13802,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","35,66","35,33","22,79","6,20","0,00","100,00",0,0,0,0
OFICINA CENTRAL,OC,ADM,CTD,"0,00","829399,99","15800,00","803200,00","53727053,05","52932253,05","794800,00","511686,2195","504116,6957","7569,5238",13,13,68,0,2367,"0,00","0,00","800000,00","0,00","-5200,00","794800,00","794800,00","800000,00","27,80","53,79","13,79","4,59","0,00","100,00",0,1,0,0
OFICINA CENTRAL,OC,ADM,CTD,"0,00","1506000,00","1000,00","1506000,00","55181410,94","54281410,94","900000,00","475701,8184","467943,1977","7758,6206",17,17,124,-4,14521,"0,00","900000,00","0,00","0,00","0,00","900000,00","900000,00","900000,00","35,59","51,12","13,27","0,00","0,01","100,00",1,0,0,0
OFICINA CENTRAL,OC,ADM,CTD,"0,00","1300000,00","13000,00","1300000,00","31351800,00","31351800,00","0,00","614741,1764","614741,1764","0,00",16,16,60,0,22339,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","100,00","0,00","0,00","0,00","0,00","100,00",0,0,0,0
OFICINA CENTRAL,OC,ADM,CTD,"0,00","1600000,00","53000,00","1600000,00","58393660,00","58393660,00","0,00","799913,1506","799913,1506","0,00",16,15,58,0,1955,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","99,81","0,18","0,00","0,00","0,00","100,00",0,0,0,0
OFICINA CENTRAL,OC,ADM,CTD,"0,00","2008000,00","7200,00","2008000,00","253473400,00","252473400,00","1000000,00","1748092,4137","1741195,862","6896,5517",16,16,97,0,2366,"0,00","1000000,00","0,00","0,00","0,00","1000000,00","1000000,00","1000000,00","33,50","26,72","35,35","0,00","4,41","100,00",1,0,0,0
OFICINA CENTRAL,OC,ADM,CTD,"0,00","1204800,00","20000,00","1204800,00","60207725,00","60207725,00","0,00","608158,8383","608158,8383","0,00",16,16,83,0,2082,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","88,01","11,98","0,00","0,00","0,00","100,00",0,0,0,0
OFICINA CENTRAL,OC,ADM,CTD,"0,00","2008000,00","7200,00","2008000,00","122224398,00","121443699,00","780699,00","1547144,2784","1537262,0126","9882,2658",22,22,266,-2,2443,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","100,00","0,00","0,00","0,00","0,00","100,00",0,0,0,0
CHIQUINQUIRA,DC,GRN,05D,"0,00","1204800,00","6000,00","1204800,00","96165600,00","95294900,00","870700,00","641104,00","635299,3333","5804,6666",16,15,420,-4,2684,"0,00","800000,00","70700,00","0,00","0,00","870700,00","870700,00","870700,00","34,42","35,10","30,46","0,00","0,00","100,00",1,1,0,0
OFICINA CENTRAL,OC,ADM,CTD,"0,00","1200000,00","150000,00","1200000,00","65969000,00","65969400,00","-400,00","724934,0659","724938,4615","-4,3956",11,11,35,0,1702,"0,00","0,00","0,00","0,00","-400,00","-400,00","-400,00","0,00","43,37","56,62","0,00","0,00","0,00","100,00",0,0,0,0
OFICINA CENTRAL,OC,ADM,CTD,"0,00","2008000,00","3400,00","2008000,00","85416350,55","85416350,55","0,00","798283,65","798283,65","0,00",17,17,99,-4,12240,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","99,93","0,00","0,05","0,00","0,00","100,00",0,0,0,0
OFICINA CENTRAL,OC,ADM,CTD,"0,00","2510000,00","6000,00","2510000,00","155863850,52","154579850,52","1284000,00","1105417,3795","1096310,9965","9106,3829",19,19,266,-4,2359,"0,00","1284000,00","0,00","0,00","0,00","1284000,00","1284000,00","1284000,00","43,35","19,20","27,65","9,78","0,00","100,00",1,0,0,0
OFICINA CENTRAL,OC,ADM,CTD,"0,00","2008000,00","30000,00","2008000,00","265690807,03","264776731,04","914075,99","1692298,1339","1686475,9938","5822,14",16,16,61,0,1799,"0,00","914100,00","-24,01","0,00","0,00","914075,99","914075,99","914100,00","32,76","31,46","35,77","0,00","0,00","100,00",1,0,0,0
OFICINA CENTRAL,OC,ADM,CTD,"0,00","2008000,00","30000,00","2008000,00","130934021,00","130958371,00","-24350,00","1169053,7589","1169271,1696","-217,4107",17,17,83,-2,16631,"0,00","0,00","0,00","0,00","-24350,00","-24350,00","-24350,00","0,00","42,36","20,76","36,87","0,00","0,00","100,00",0,0,0,0
OFICINA CENTRAL,OC,ADM,CTD,"0,00","1807200,00","6000,00","1807200,00","166914900,00","165898400,00","1016500,00","1076870,3225","1070312,258","6558,0645",34,28,472,-9,21114,"0,00","800000,00","216500,00","0,00","0,00","1016500,00","1016500,00","1016500,00","36,60","52,33","11,00","0,00","0,05","100,00",1,1,0,0
OFICINA CENTRAL,OC,ADM,CTD,"0,00","2404800,00","16000,00","2000000,00","110059875,00","109612320,00","447555,00","940682,6923","936857,4358","3825,2564",16,16,83,0,1667,"0,00","0,00","0,00","0,00","447555,00","447555,00","447555,00","447555,00","80,74","0,27","18,98","0,00","0,00","100,00",0,0,0,1
OFICINA CENTRAL,OC,ADM,CTD,"0,00","550000,00","15000,00","550000,00","1115000,00","1115000,00","0,00","139375,00","139375,00","0,00",247,161,291,0,21492,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","100,00","0,00","0,00","0,00","0,00","100,00",0,0,0,0
PUERTO SALGAR,DC,CIL,CTD,"1,00","5913500,00","9000,00","2744208,00","21623056,44","21636856,44","-13800,00","772252,0157","772744,8728","-492,8571",9,6,66,-9,2684,"0,00","0,00","0,00","0,00","-13800,00","-13800,00","-13800,00","0,00","72,01","27,98","0,00","0,00","0,00","100,00",0,0,0,0
PUERTO SALGAR,DC,CIL,CTD,"0,00","5166750,00","60000,00","5073748,50","85166110,28","85166110,28","0,00","1468381,2117","1468381,2117","0,00",2,2,24,0,967,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","7,78","92,21","0,00","0,00","0,00","100,00",0,0,0,0
PUERTO SALGAR,DC,CIL,CTD,"1,00","2781460,00","2369,53","2781460,00","4187329,53","4187329,53","0,00","1395776,51","1395776,51","0,00",82,82,245,1,2684,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","99,94","0,00","0,00","0,05","100,00",0,0,0,0
PUERTO SALGAR,DC,CIL,CTD,"1,00","2744208,00","2744208,00","2744208,00","5488416,00","5488416,00","0,00","2744208,00","2744208,00","0,00",0,0,0,-1,2684,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","100,00","0,00","0,00","0,00","0,00","100,00",0,0,0,0
PUERTO SALGAR,DC,CIL,CTD,"1,00","13186119,84","10340,00","9759960,00","58102106,84","58102106,84","0,00","592878,6412","592878,6412","0,00",4,3,22,-9,967,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","26,53","73,46","0,00","0,00","0,00","100,00",0,0,0,0
PUERTO SALGAR,DC,CIL,CTD,"1,00","9891593,00","10400,00","7467792,00","25846092,00","26099192,00","-253100,00","1723072,80","1739946,1333","-16873,3333",8,5,28,-9,2684,"0,00","0,00","0,00","0,00","-253100,00","-253100,00","-253100,00","0,00","49,49","50,50","0,00","0,00","0,00","100,00",0,0,0,0
PUERTO SALGAR,DC,CIL,08D,"3578432,00","9616300,00","973607,60","6260402,00","89665562,00","86872762,00","2792800,00","2892437,4838","2802347,1612","90090,3225",16,9,35,-4,609,"0,00","2792800,00","0,00","0,00","0,00","2792800,00","2792800,00","2792800,00","9,06","90,78","0,14","0,00","0,00","100,00",1,0,0,0
PUERTO SALGAR,DC,CIL,08D,"2477376,00","5342304,60","1385000,80","4113650,00","68456172,00","66084772,00","2371400,00","2444863,2857","2360170,4285","84692,8571",15,7,23,-5,609,"0,00","2371400,00","0,00","0,00","0,00","2371400,00","2371400,00","2371400,00","19,27","80,72","0,00","0,00","0,00","100,00",1,0,0,0
OFICINA CENTRAL,OC,ADM,CTD,"0,00","1800000,00","33300,00","1800000,00","32585154,88","33151474,88","-566320,00","465502,2125","473592,4982","-8090,2857",14,12,94,-8,1934,"0,00","-566320,00","0,00","0,00","0,00","-566320,00","-566320,00","0,00","45,23","48,63","6,11","0,00","0,01","100,00",0,0,0,0
OFICINA CENTRAL,OC,ADM,CTD,"0,00","2008000,00","120800,00","2008000,00","146862900,00","146286150,00","576750,00","1613878,0219","1607540,1098","6337,912",19,17,85,-8,12430,"0,00","576750,00","0,00","0,00","0,00","576750,00","576750,00","576750,00","29,95","36,47","29,83","3,72","0,00","100,00",1,0,0,0
OFICINA CENTRAL,OC,ADM,CTD,"0,00","850000,00","488600,00","850000,00","2188600,00","2188600,00","0,00","547150,00","547150,00","0,00",16,14,33,-7,1772,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","100,00","0,00","0,00","0,00","0,00","100,00",0,0,0,0
OFICINA CENTRAL,OC,ADM,CTD,"0,00","28000,00","28000,00","28000,00","28000,00","28000,00","0,00","28000,00","28000,00","0,00",0,0,0,0,1684,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","100,00","0,00","0,00","0,00","0,00","100,00",0,0,0,0
OFICINA CENTRAL,OC,ADM,CTD,"0,00","600000,00","65100,00","600000,00","2433700,00","2433700,00","0,00","304212,50","304212,50","0,00",20,18,88,-8,1684,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","84,98","15,01","0,00","0,00","0,00","100,00",0,0,0,0
OFICINA CENTRAL,OC,ADM,CTD,"0,00","850000,00","33500,00","850000,00","32438098,00","31956848,00","481250,00","463401,40","456526,40","6875,00",16,14,106,-8,13037,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","93,40","6,59","0,00","0,00","0,00","100,00",0,0,0,0
OFICINA CENTRAL,OC,ADM,CTD,"0,00","2500000,00","13100,00","2500000,00","5413100,00","2913100,00","2500000,00","492100,00","264827,2727","227272,7272",15,13,48,-8,12835,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","100,00","0,00","0,00","0,00","100,00",0,0,0,0
OFICINA CENTRAL,OC,ADM,CTD,"0,00","12000000,00","150000,00","12000000,00","28101650,00","15240850,00","12860800,00","739517,1052","401075,00","338442,1052",28,28,179,0,11619,"0,00","0,00","0,00","0,00","-105200,00","-105200,00","-105200,00","0,00","100,00","0,00","0,00","0,00","0,00","100,00",0,0,0,0
OFICINA CENTRAL,OC,ADM,CTD,"0,00","1250000,00","240000,00","1250000,00","5552000,00","3969000,00","1583000,00","213538,4615","152653,8461","60884,6153",166,102,291,0,1719,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","50,00","50,00","0,00","0,00","100,00",0,0,0,0
OFICINA CENTRAL,OC,ADM,CTD,"0,00","500000,00","500000,00","500000,00","1000000,00","1000000,00","0,00","500000,00","500000,00","0,00",21,21,43,0,1883,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","50,00","0,00","50,00","0,00","0,00","100,00",0,0,0,0
OFICINA CENTRAL,OC,ADM,CTD,"0,00","3000000,00","82400,00","3000000,00","24249939,00","23975439,00","274500,00","621793,3076","614754,8461","7038,4615",23,22,119,-8,13293,"0,00","0,00","274500,00","0,00","0,00","274500,00","274500,00","274500,00","45,83","38,07","6,89","9,19","0,00","100,00",0,1,0,0
OFICINA CENTRAL,OC,ADM,CTD,"0,00","2000000,00","11999,00","2000000,00","55601446,44","55640672,44","-39226,00","611004,9059","611435,9608","-431,0549",14,12,137,-8,2411,"0,00","0,00","0,00","0,00","-39226,00","-39226,00","-39226,00","0,00","44,79","23,81","22,53","8,66","0,17","100,00",0,0,0,0
OFICINA CENTRAL,OC,ADM,CTD,"0,00","1204800,00","28000,00","1204800,00","107642396,00","106842396,00","800000,00","1133077,8526","1124656,80","8421,0526",17,15,57,-9,13535,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","100,00","0,00","0,00","0,00","0,00","100,00",0,0,0,0
OFICINA CENTRAL,OC,ADM,CTD,"0,00","500000,00","230000,00","500000,00","2160000,00","2160000,00","0,00","360000,00","360000,00","0,00",11,11,28,0,9876,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","100,00","0,00","0,00","0,00","100,00",0,0,0,0
OFICINA CENTRAL,OC,ADM,CTD,"0,00","2500000,00","120000,00","2500000,00","39500305,00","39504005,00","-3700,00","790006,10","790080,10","-74,00",14,13,90,-8,10889,"0,00","0,00","0,00","0,00","-3700,00","-3700,00","-3700,00","0,00","32,43","63,12","4,44","0,00","0,00","100,00",0,0,0,0
OFICINA CENTRAL,OC,ADM,CTD,"0,00","1500000,00","25000,00","1500000,00","3378700,00","3378700,00","0,00","844675,00","844675,00","0,00",3,1,12,-8,2180,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","100,00","0,00","0,00","0,00","0,00","100,00",0,0,0,0
OFICINA CENTRAL,OC,ADM,CTD,"0,00","3000000,00","216420,00","3000000,00","8778900,00","7502160,00","1276740,00","731575,00","625180,00","106395,00",51,32,162,-1,2416,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","100,00","0,00","0,00","0,00","100,00",0,0,0,0
OFICINA CENTRAL,OC,ADM,CTD,"0,00","1506000,00","14000,00","1506000,00","129055800,00","129055800,00","0,00","871998,6486","871998,6486","0,00",15,14,70,-8,1772,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","45,83","34,90","19,26","0,00","0,00","100,00",0,0,0,0
OFICINA CENTRAL,OC,ADM,CTD,"0,00","2500000,00","223000,00","2500000,00","82103900,00","81121644,00","982256,00","789460,5769","780015,8076","9444,7692",12,11,70,-8,2438,"0,00","1000000,00","0,00","0,00","-17744,00","982256,00","982256,00","1000000,00","49,11","48,30","2,58","0,00","0,00","100,00",1,0,0,0
OFICINA CENTRAL,OC,ADM,CTD,"0,00","180000,00","62500,00","180000,00","422500,00","422500,00","0,00","140833,3333","140833,3333","0,00",4,1,13,-8,2404,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","100,00","0,00","0,00","0,00","0,00","100,00",0,0,0,0
OFICINA CENTRAL,OC,ADM,CTD,"0,00","800000,00","95810,00","800000,00","9501719,00","9284719,00","217000,00","452462,8095","442129,4761","10333,3333",21,18,92,-18,11712,"0,00","0,00","0,00","0,00","217000,00","217000,00","217000,00","217000,00","39,22","21,55","39,22","0,00","0,00","100,00",0,0,0,1
OFICINA CENTRAL,OC,ADM,CTD,"0,00","1500000,00","70000,00","2000000,00","27420000,00","27420000,00","0,00","1096800,00","1096800,00","0,00",12,11,49,-8,1758,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","17,74","82,25","0,00","0,00","0,00","100,00",0,0,0,0
OFICINA CENTRAL,OC,ADM,CTD,"0,00","2008000,00","9700,00","2008000,00","177090321,00","176444221,00","646100,00","1451560,0081","1446264,1065","5295,9016",19,17,297,-9,1810,"0,00","0,00","586100,00","0,00","60000,00","646100,00","646100,00","646100,00","27,61","52,66","19,59","0,00","0,12","100,00",0,1,0,1
OFICINA CENTRAL,OC,ADM,CTD,"0,00","1522300,00","300000,00","1400000,00","3522300,00","3522300,00","0,00","704460,00","704460,00","0,00",9,9,20,0,10354,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","48,26","51,73","0,00","0,00","0,00","100,00",0,0,0,0
OFICINA CENTRAL,OC,ADM,CTD,"0,00","1300000,00","300000,00","1300000,00","30600000,00","29823475,00","776525,00","900000,00","877161,0294","22838,9705",13,12,43,-8,2703,"0,00","0,00","776525,00","0,00","0,00","776525,00","776525,00","776525,00","41,17","41,17","17,64","0,00","0,00","100,00",0,1,0,0
OFICINA CENTRAL,OC,ADM,CTD,"0,00","1204800,00","48000,00","1204800,00","49360400,00","49360400,00","0,00","536526,0869","536526,0869","0,00",17,15,182,-8,13484,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","48,99","34,74","16,26","0,00","0,00","100,00",0,0,0,0
OFICINA CENTRAL,OC,ADM,CTD,"0,00","928865,00","292650,00","928865,00","1767515,00","1767515,00","0,00","589171,6666","589171,6666","0,00",3,3,6,0,1810,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","16,55","83,44","0,00","0,00","0,00","100,00",0,0,0,0
OFICINA CENTRAL,OC,ADM,CTD,"0,00","1000000,00","25600,00","1000000,00","9889270,00","10112870,00","-223600,00","274701,9444","280913,0555","-6211,1111",6,6,57,-3,19158,"0,00","0,00","-223600,00","0,00","0,00","-223600,00","-223600,00","0,00","18,50","64,11","17,38","0,00","0,00","100,00",0,0,0,0
SIBERIA,DC,CIL,CTD,"0,00","2004000,00","291000,00","1004000,00","96383600,00","96155100,00","228500,00","917939,0476","915762,8571","2176,1904",21,19,76,-9,2684,"0,00","0,00","228500,00","0,00","0,00","228500,00","228500,00","228500,00","47,22","5,41","47,28","0,07","0,00","100,00",0,1,0,0
FUSAGASUGA VD,DC,CIL,CTD,"1,00","7376280,00","5111,00","7376280,00","24456483,00","24483083,00","-26600,00","627089,3076","627771,3589","-682,0512",31,31,214,0,2684,"0,00","0,00","0,00","0,00","-26600,00","-26600,00","-26600,00","0,00","0,17","71,22","28,04","0,00","0,54","100,00",0,0,0,0
OFICINA CENTRAL,OC,ADM,CTD,"1,00","279900,00","36000,00","279900,00","315900,00","315900,00","0,00","157950,00","157950,00","0,00",91,91,182,0,3189,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","11,39","0,00","0,00","0,00","88,60","100,00",0,0,0,0
OFICINA CENTRAL,OC,ADM,CTD,"0,00","1000000,00","75000,00","1000000,00","5310000,00","5310000,00","0,00","590000,00","590000,00","0,00",22,22,98,-6,19900,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","22,07","55,84","9,26","0,00","12,81","100,00",0,0,0,0
